user_id,song_name,song_id,artist,listen_duration,timestamp,like,download,share,comment
1,Your Lips My Wine,0eb66a41621e74b574c3e5fd77e1997f,Olivia Coleman,9.104891698422652,2024-10-03 16:52:50.045942,0,0,0,0
1,Whiskey River Blues,bd4170ec5e8db9361c01c28755d555d1,Howard Clark,27.633909201095346,2024-09-22 16:31:43.045942,0,0,0,0
1,Your Lips My Wine,0eb66a41621e74b574c3e5fd77e1997f,Olivia Coleman,49.7143914146486,2024-10-05 16:26:45.045942,0,0,0,0
1,Safeand Sound,5c5658f9e2cebb9e897c0e98d6cee5d3,Sue Long,41.21359312429077,2024-10-13 16:06:55.045942,0,0,0,0
1,Cosmic Drift,4523b921a6eb65a2fd1961128b362cf3,Isaac Foster,113.88711811947653,2024-10-03 16:10:22.045942,0,0,0,0
1,Your Laugh My Drink,2ca37f3a59a5138569108198c44e391d,Melanie Wright,78.31530385812344,2024-09-24 16:15:10.045942,0,0,0,0
1,The Nest,ca1c251c9a621cac5222b63b3fc60a9b,Joan Butler,51.38608790311939,2024-10-15 16:13:29.045942,0,0,0,0
1,Punk Rock Purgatory,18a011645df3f033aace2e75992cd93b,Glen Richards,31.114888693909247,2024-09-25 16:44:34.045942,0,0,0,0
1,Defying Gravity,d0866bd71d681896c4f8e6249f74dd71,Christian Hayes,85.82109249766347,2024-09-24 16:59:10.045942,0,0,0,0
1,Dancingwiththe Shadows,cf6b0ddeeaad08337e41ad73859ebad1,Stella Harris,61.63031735071581,2024-10-07 16:06:17.045942,0,0,0,0
1,My Place My Peace,8caa6a83b2a8d53a417549ba38fd88fc,Margaret White,39.232803879696704,2024-09-23 16:41:41.045942,0,0,0,0
1,Breathless,2387b7a68140d915af993e8623ad749c,Matthew Martin,102.70173319015511,2024-10-04 16:01:24.045942,0,0,0,0
1,The Houseonthe Hill,039ef19c5ea820b23494882f0b5edb16,Gabriel Howard,4.667953470826481,2024-10-08 16:59:01.045942,1,1,0,0
1,Bluesforthe Lonely,73ce995cf34319641bc9b08815fd64be,Eric Mitchell,132.97073000974308,2024-09-28 16:57:27.045942,1,0,0,0
1,A Glass Fullof Love,0b4fcac760dda5a3d00bf2191d4bd803,Felix Morgan,10.381339445521476,2024-09-28 16:28:04.045942,0,0,0,0
1,Peaceful Moments,087e2730f1271510e81639594df4293a,Elizabeth Thomas,34.3738921999613,2024-10-01 16:49:24.045942,0,0,0,0
1,A Nightto Remember,4f2939739ec0a03e4b34d008a440fdb8,Barbara Anderson,33.64648742209481,2024-09-25 16:24:24.045942,0,0,0,0
1,Soft Touch,1f90973d9eec1ec051fa598bf5b57796,Sylvia Evans,76.35624715755927,2024-10-12 16:47:19.045942,0,0,0,0
1,Easy Days,40e9aa2b50da4a48fc6a6ca5e577df39,Janet Bailey,122.20230956949626,2024-10-01 16:01:43.045942,1,1,0,0
1,Celestial Calm,815f0cd26e6d6564652eacae03a0eeb6,Sarah Gonzalez,73.36710626168681,2024-10-16 16:45:37.045942,0,0,0,0
1,Anarchy Antidote,69ccbb826cb9f018697504b922749a02,Carl Hughes,104.16627918645543,2024-10-08 16:49:38.045942,1,0,1,0
1,Punk Rock Preacher,d9369dc69bd890069287a4152fbf3cc9,Daniel Moore,112.82632951065432,2024-09-24 16:42:17.045942,1,0,0,0
